品牌,能效等级,支持IPv6,类型,处理器,厚度,机身材质,内存容量,屏幕尺寸,Pairs
dell,三级能效,no,高端轻薄本,飞腾,15.0mm 及以下,金属+复合材质,32GB,18.4英寸,1
mechrevo,一级能效,yes,高端轻薄本,龙芯,20.0mm 以上,复合材质,20GB,17.3英寸,1
asus,一级能效,no,高端游戏本,Apple M1,15.1-18.0mm,金属,16GB,14.0-14.9英寸,1
huawei,三级能效,no,高端游戏本,intel i3,15.1-18.0mm,金属+复合材质,36GB,18.4英寸,1
mechrevo,五级能效,yes,高端游戏本,AMD R9,20.0mm 以上,金属+复合材质,48GB,13.0英寸以下,1
honor,三级能效,yes,游戏本,高通,20.0mm 以上,金属+复合材质,24GB,13.0-13.9英寸,1
mi,三级能效,yes,高性能轻薄本,Apple M1 Max,15.0mm 及以下,复合材质,12GB,13.0英寸以下,1
apple,一级能效,no,游戏本,intel i9,15.1-18.0mm,金属,24GB,13.0-13.9英寸,1
apple,三级能效,yes,高端游戏本,Apple M1 Pro,15.0mm 及以下,复合材质,128GB,18.4英寸,1
mi,二级能效,yes,高性能轻薄本,intel i7,20.0mm 以上,含碳纤维,32GB,17英寸,1
mi,五级能效,yes,游戏本,AMD R5,15.1-18.0mm,金属+复合材质,6GB,13.0英寸以下,1
lenovo,一级能效,no,高端游戏本,兆芯,18.1-20.0mm,金属+复合材质,20GB,13.0-13.9英寸,1
mi,二级能效,yes,高端游戏本,Apple M2,15.0mm 及以下,复合材质,36GB,17.3英寸,1
lenovo,三级能效,no,轻薄本,intel 赛扬,18.1-20.0mm,金属+复合材质,16GB,15.0-15.9英寸,1
huawei,一级能效,no,高端轻薄本,AMD R3,15.0mm 及以下,金属+复合材质,64GB,17.3英寸,1
mi,三级能效,yes,游戏本,intel 奔腾,20.0mm 以上,金属+复合材质,8GB,14.0-14.9英寸,1
asus,三级能效,no,轻薄本,麒麟,20.0mm 以上,金属,4GB,17.3英寸,1
apple,二级能效,yes,高端游戏本,intel 至强,15.0mm 及以下,复合材质,48GB,13.0英寸以下,1
mechrevo,一级能效,yes,游戏本,AMD R7,15.0mm 及以下,金属,40GB,13.0-13.9英寸,1
